ID,History,CoApplicant,Accommodation,Fraud
1,current,none,own,TRUE
2,paid,none,own,FALSE
3,paid,none,own,FALSE
4,paid,guarantor,rent,TRUE
5,arrears,none,own,FALSE
6,arrears,none,own,TRUE
7,current,none,own,FALSE
8,arrears,none,own,FALSE
9,current,none,rent,FALSE
10,none,none,own,TRUE
11,current,coapplicant,own,FALSE
12,current,none,own,TRUE
13,current,none,rent,TRUE
14,paid,none,own,FALSE
15,arrears,none,own,FALSE
16,current,none,own,FALSE
17,arrears,coapplicant,rent,FALSE
18,arrears,none,free,FALSE
19,arrears,none,own,FALSE
20,paid,none,own,FALSE
